City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Hilton Head Island,US,84.0,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
184,Jaguaribe,BR,81.28,broken clouds,-5.8906,-38.6219,Hotel Pinheiro
190,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
191,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
192,Half Moon Bay,US,78.91,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
193,Bintulu,MY,76.32,overcast clouds,3.1667,113.0333,900 Boutique INN
196,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
209,Aquiraz,BR,86.45,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
211,Semporna,MY,79.38,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
213,Bani Walid,LY,87.13,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
216,Mayo,US,84.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
217,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
220,Namatanai,PG,78.35,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
221,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Central
225,Westport,US,84.43,clear sky,41.1415,-73.3579,The Westport Inn
231,Alexandria,EG,76.15,clear sky,31.2156,29.9553,Royal Crown Hotel
234,Tautira,PF,79.88,scattered clouds,-17.7333,-149.15,Pension Oaoa
237,Sola,VU,80.28,few clouds,-13.8833,167.55,Leumerus Bungalows
244,Virginia Beach,US,82.45,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
246,Cosmopolis,BR,77.88,broken clouds,-22.6458,-47.1961,"OYO Hotel Cosmópolis, Sao Paulo"
249,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
251,Macon,US,80.26,few clouds,39.8667,-88.9668,Haworth Cottage
254,Sabha,LY,87.96,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
264,Broome,US,81.46,overcast clouds,42.2506,-75.833,Chenango Valley State Park
268,Jalingo,NG,79.16,light rain,8.8833,11.3667,Debright Motel
270,Alyangula,AU,77.13,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
271,Dana Point,US,83.91,clear sky,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
274,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
277,Eresos,GR,75.88,broken clouds,39.1667,25.9333,Studio Aspa
278,Biu,NG,79.29,broken clouds,10.6129,12.1946,Emir's Palace
279,Paracuru,BR,84.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
284,Toccoa,US,85.28,broken clouds,34.5773,-83.3324,Quality Inn
285,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
290,Puerto Ayacucho,VE,86.72,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
291,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
294,Matay,EG,88.59,broken clouds,28.419,30.7792,Nag Aespen
295,Batman,TR,75.0,clear sky,37.8874,41.1322,Hotel Izgi Turhan
297,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Faanui,PF,80.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
300,San-Pedro,CI,76.48,light rain,4.7485,-6.6363,Hotel Maria
301,Guasdualito,VE,85.51,overcast clouds,7.2424,-70.7324,Hotel Cuibas
308,Kontagora,NG,79.11,few clouds,10.3999,5.4695,Queens Guest Inn
309,Ternate,ID,79.47,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
310,Sao Felix Do Xingu,BR,86.79,light rain,-6.6447,-51.995,Rio Xingu Camping
312,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
313,Sattahip,TH,85.17,scattered clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
314,Sao Filipe,CV,76.78,clear sky,14.8961,-24.4956,Hotel Xaguate
315,Sompeta,IN,82.08,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
316,Sibolga,ID,75.0,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
319,Tonekabon,IR,78.93,scattered clouds,36.8163,50.8738,Hotel Sadra
320,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
323,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
328,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
329,Cockburn Town,TC,80.78,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
332,Chivacoa,VE,86.54,broken clouds,10.1603,-68.895,Hotel Fache C.A
334,Iranshahr,IR,89.6,clear sky,27.2025,60.6848,نیک سرشت
335,Inirida,CO,81.81,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
336,Jardim,BR,90.0,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
337,Tomatlan,MX,87.91,few clouds,19.9333,-105.25,El Salvial
340,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
342,Port Blair,IN,82.2,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
343,Pacific Grove,US,76.8,few clouds,36.6177,-121.9166,Lovers Point Inn
344,Cravo Norte,CO,84.52,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
347,Grand-Santi,GF,78.62,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
349,Korla,CN,79.34,overcast clouds,41.7597,86.1469,Gulisitan Hotel
355,Ma-Ao,PH,76.48,broken clouds,10.4923,122.992,The Treeze Nature Resort
364,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
