City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Aswan,EG,24.0934,32.907,93.15,14,20,12.95,few clouds
261,Maridi,SS,4.9158,29.4742,68.27,89,99,2.44,light rain
262,Holesov,CZ,49.3333,17.5783,67.05,84,0,2.33,clear sky
263,Wisconsin Rapids,US,44.3836,-89.8174,67.28,79,100,8.05,overcast clouds
264,Broome,US,42.2506,-75.833,81.46,44,100,8.01,overcast clouds
265,Bambous Virieux,MU,-20.3428,57.7575,71.22,77,4,13.29,clear sky
266,Armizonskoye,RU,55.9461,67.6736,55.38,69,100,7.43,overcast clouds
267,Athabasca,CA,54.7169,-113.2854,64.18,52,100,10.11,overcast clouds
268,Jalingo,NG,8.8833,11.3667,79.16,75,95,3.58,light rain
269,Aitape,PG,-3.1374,142.3475,77.07,88,90,3.31,overcast clouds
270,Alyangula,AU,-13.8483,136.4192,77.13,86,15,11.21,few clouds
271,Dana Point,US,33.467,-117.6981,83.91,72,0,4.0,clear sky
272,Bereznik,RU,62.8551,42.7072,46.42,91,100,4.94,overcast clouds
273,Darhan,MN,49.4867,105.9228,58.95,61,100,1.7,overcast clouds
274,Kailua,US,21.4022,-157.7394,82.38,72,40,9.22,scattered clouds
275,Taquaritinga Do Norte,BR,-7.9031,-36.0442,68.34,89,88,11.45,overcast clouds
276,Mehamn,NO,71.0357,27.8492,44.51,60,13,14.63,few clouds
277,Eresos,GR,39.1667,25.9333,75.88,81,73,16.87,broken clouds
278,Biu,NG,10.6129,12.1946,79.29,55,78,1.68,broken clouds
279,Paracuru,BR,-3.41,-39.0306,84.11,75,54,10.96,broken clouds
280,Roald,NO,62.5833,6.1333,60.17,76,0,9.22,clear sky
281,Moss Vale,AU,-34.55,150.3833,44.33,79,52,14.97,broken clouds
282,Sakakah,SA,29.9697,40.2064,94.03,12,92,11.07,overcast clouds
283,Staryy Krym,UA,45.0333,35.1,62.74,74,100,4.16,overcast clouds
284,Toccoa,US,34.5773,-83.3324,85.28,58,75,4.61,broken clouds
285,Praia,CV,14.9215,-23.5087,79.34,65,20,14.97,few clouds
286,Impfondo,CG,1.6381,18.0667,72.55,93,89,3.4,light rain
287,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,92,23,12.19,few clouds
288,Esmeraldas,BR,-19.7625,-44.3139,74.26,34,85,0.4,overcast clouds
289,Beaufort,MY,5.3473,115.7455,74.01,96,73,2.64,broken clouds
290,Puerto Ayacucho,VE,5.6639,-67.6236,86.72,60,38,2.59,scattered clouds
291,Vila Velha,BR,-20.3297,-40.2925,76.95,71,0,8.05,clear sky
292,Codrington,AU,-38.2667,141.9667,48.99,75,96,18.97,light rain
293,Guilin,CN,25.2819,110.2864,73.08,96,100,1.97,overcast clouds
294,Matay,EG,28.419,30.7792,88.59,27,54,10.07,broken clouds
295,Batman,TR,37.8874,41.1322,75.0,38,0,1.14,clear sky
296,Bonavista,CA,48.6499,-53.1147,42.85,80,47,10.33,scattered clouds
297,Salalah,OM,17.0151,54.0924,84.29,79,20,6.91,few clouds
298,North Bend,US,43.4065,-124.2243,64.92,81,20,10.36,few clouds
299,Faanui,PF,-16.4833,-151.75,80.55,73,11,20.49,light rain
300,San-Pedro,CI,4.7485,-6.6363,76.48,88,100,7.36,light rain
301,Guasdualito,VE,7.2424,-70.7324,85.51,61,98,5.26,overcast clouds
302,Mago,RU,53.2514,140.1822,53.42,75,57,1.63,broken clouds
303,Lata,PT,40.1629,-8.3327,67.77,80,93,7.45,overcast clouds
304,Dembi Dolo,ET,8.5333,34.8,58.12,77,92,4.25,overcast clouds
305,Clyde River,CA,70.4692,-68.5914,44.47,59,30,5.55,scattered clouds
306,Huarmey,PE,-10.0681,-78.1522,69.58,74,23,9.22,few clouds
307,Pevek,RU,69.7008,170.3133,33.48,80,94,4.59,overcast clouds
308,Kontagora,NG,10.3999,5.4695,79.11,58,14,2.84,few clouds
309,Ternate,ID,0.8,127.4,79.47,81,98,4.27,overcast clouds
310,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.79,50,29,3.02,light rain
311,Vila,PT,42.0304,-8.1588,59.7,81,97,3.78,overcast clouds
312,San Cristobal,VE,7.7669,-72.225,80.78,45,30,7.05,scattered clouds
313,Sattahip,TH,12.6664,100.9007,85.17,94,40,0.0,scattered clouds
314,Sao Filipe,CV,14.8961,-24.4956,76.78,72,1,12.95,clear sky
315,Sompeta,IN,18.9333,84.6,82.08,83,100,13.98,overcast clouds
316,Sibolga,ID,1.7427,98.7792,75.0,92,98,2.89,overcast clouds
317,Ostrovnoy,RU,68.0531,39.5131,41.45,95,97,13.42,overcast clouds
318,Raudeberg,NO,61.9875,5.1352,59.67,70,12,18.75,few clouds
319,Tonekabon,IR,36.8163,50.8738,78.93,63,26,4.29,scattered clouds
320,Bengkulu,ID,-3.8004,102.2655,75.27,92,100,4.34,overcast clouds
321,Leningradskiy,RU,69.3833,178.4167,33.13,86,100,8.75,overcast clouds
322,Timmins,CA,48.4669,-81.3331,67.82,49,100,10.36,thunderstorm
323,The Valley,AI,18.217,-63.0578,86.14,70,20,18.41,few clouds
324,Ust-Kuyga,RU,70.0167,135.6,58.19,46,94,3.53,overcast clouds
325,Narsaq,GL,60.9167,-46.05,57.42,79,100,6.6,overcast clouds
326,Ilulissat,GL,69.2167,-51.1,41.02,45,20,17.27,few clouds
